RAILLINK_I,출발역,종착역,LENGTH,호선
1103028,불광역(3호선),연신내역(3호선),1.3,서울3호선
1103029,구파발,연신내역(3호선),2,서울3호선
1103030,지축,구파발,1.5,서울3호선
1103031,수서역(3호선),가락시장역(3호선),1.4,서울3호선
1103032,경찰병원,가락시장역(3호선),0.8,서울3호선
1103033,오금역(3호선),경찰병원,0.8,서울3호선
1104001,상계,당고개,1.2,서울4호선
1104002,상계,노원역(4호선),1,서울4호선
1104003,노원역(4호선),창동역(4호선),1.4,서울4호선
1104004,쌍문,창동역(4호선),1.3,서울4호선
1104005,수유,쌍문,1.5,서울4호선
1104006,미아,수유,1.4,서울4호선
1104007,미아사거리,미아,1.5,서울4호선
1104008,미아사거리,길음,1.3,서울4호선
1104009,길음,성신여대입구(4호선),1.4,서울4호선
1104010,성신여대입구(4호선),한성대입구,1,서울4호선
1104011,한성대입구,혜화,0.9,서울4호선
1104012,혜화,동대문역(4호선),1.5,서울4호선
1104013,동대문역사문화공원(4호선),동대문역(4호선),0.7,서울4호선
1104014,충무로역(4호선),동대문역사문화공원(4호선),1.3,서울4호선
1104015,명동,충무로역(4호선),0.7,서울4호선
1104016,명동,회현,0.7,서울4호선
1104017,회현,서울역(4호선),0.9,서울4호선
1104018,서울역(4호선),숙대입구,1,서울4호선
1104019,숙대입구,삼각지역(4호선),1.2,서울4호선
1104020,삼각지역(4호선),신용산,0.7,서울4호선
1104021,이촌역(4호선),신용산,1.3,서울4호선
1104022,이촌역(4호선),동작역(4호선),2.7,서울4호선
1104023,동작역(4호선),총신대입구역(4호선),1.8,서울4호선
1104024,사당역(4호선),총신대입구역(4호선),1.1,서울4호선
1104025,사당역(4호선),남태령,1.6,서울4호선
1105001,개화산,방화,0.9,서울5호선
1105002,김포공항역(5호선),개화산,1.2,서울5호선
1105003,송정(5호선),김포공항역(5호선),1.2,서울5호선
1105004,마곡,송정(5호선),1.1,서울5호선
1105005,발산,마곡,1.2,서울5호선
1105006,우장산,발산,1.1,서울5호선
1105007,화곡,우장산,1,서울5호선
1105008,화곡,까치산역(5호선),1.2,서울5호선
1105009,까치산역(5호선),신정,1.3,서울5호선
1105010,신정,목동,0.8,서울5호선
1105011,목동,오목교,0.9,서울5호선
1105012,오목교,양평(5호선),1.1,서울5호선
1105013,양평(5호선),영등포구청역(5호선),0.8,서울5호선
1105014,영등포구청역(5호선),영등포시장,0.9,서울5호선
1105015,영등포시장,신길역(5호선),1.1,서울5호선
1105016,여의도역(5호선),신길역(5호선),1,서울5호선
1105017,여의도역(5호선),여의나루,1,서울5호선
1105018,마포,여의나루,1.8,서울5호선
1105019,공덕역(5호선),마포,0.8,서울5호선
1105020,공덕역(5호선),애오개,1.1,서울5호선
1105021,충정로역(5호선),애오개,0.9,서울5호선
1105022,충정로역(5호선),서대문,0.7,서울5호선
1105023,광화문,서대문,1.1,서울5호선
1105024,광화문,종로3가역(5호선),1.2,서울5호선
1105025,을지로4가역(5호선),종로3가역(5호선),1,서울5호선
1105027,청구역(5호선),동대문역사문화공원(5호선),0.9,서울5호선
1105028,청구역(5호선),신금호,0.9,서울5호선
1105029,행당,신금호,0.8,서울5호선
1105030,왕십리역(5호선),행당,0.9,서울5호선
1105031,왕십리역(5호선),마장,0.7,서울5호선
1105032,마장,답십리,1,서울5호선
1105033,장한평,답십리,1.2,서울5호선
1105034,장한평,군자역(5호선),1.5,서울5호선
1105035,아차산,군자역(5호선),1,서울5호선
1105036,광나루,아차산,1.5,서울5호선
1105037,광나루,천호역(5호선),2,서울5호선
1105038,천호역(5호선),강동역(5호선),0.8,서울5호선
1105039,둔촌동,강동역(5호선),1.2,서울5호선
1105040,둔촌동,올림픽공원,1.4,서울5호선
